Product Name,Sales Date,Quantity,Price
MS Brackets,2019-04-02,150,22500
Square Sheet Metal Junction Box,2019-04-07,20,20000
Square Sheet Metal Junction Box,2019-04-15,10,10000
Sheet Metal Boxes,2019-04-17,88,8800
Junction Box (S),2019-04-29,30,13500
MS PLatform,2019-04-30,15,18750
Square Sheet Metal Junction Box,2019-05-07,10,10000
Sheet Metal Boxes,2019-05-09,96,9600
MS PLatform,2019-05-11,30,37500
Junction Box (S),2019-05-11,50,22500
MS PLatform,2019-05-18,20,25000
MS Brackets,2019-05-21,150,22500
Square Sheet Metal Junction Box,2019-05-22,15,15000
MS Brackets,2019-05-24,150,22500
Sheet Metal Boxes,2019-05-24,66,6600
Junction Box (S),2019-05-29,45,20250
Junction Box (S),2019-05-30,50,22500
Junction Box (S),2019-06-01,50,22500
MS Brackets,2019-06-06,150,22500
MS PLatform,2019-06-10,25,31250
Square Sheet Metal Junction Box,2019-06-19,20,20000
Sheet Metal Boxes,2019-06-24,38,3800
Sheet Metal Boxes,2019-07-06,30,3000
Square Sheet Metal Junction Box,2019-07-11,20,20000
MS Brackets,2019-07-12,100,15000
MS PLatform,2019-07-12,15,18750
Junction Box (S),2019-07-27,50,22500
Square Sheet Metal Junction Box,2019-07-28,20,20000
Junction Box (S),2019-08-04,45,20250
MS PLatform,2019-08-08,30,37500
Sheet Metal Boxes,2019-08-12,37,3700
Square Sheet Metal Junction Box,2019-08-17,15,15000
Square Sheet Metal Junction Box,2019-08-17,10,10000
MS Brackets,2019-08-27,150,22500
MS PLatform,2019-09-01,10,12500
Square Sheet Metal Junction Box,2019-09-07,10,10000
MS Brackets,2019-09-09,100,15000
Junction Box (S),2019-09-13,30,13500
Sheet Metal Boxes,2019-09-14,38,3800
Square Sheet Metal Junction Box,2019-09-15,20,20000
Square Sheet Metal Junction Box,2019-09-25,15,15000
MS PLatform,2019-10-17,15,18750
Junction Box (S),2019-10-19,50,22500
Sheet Metal Boxes,2019-10-21,89,8900
MS Brackets,2019-10-28,150,22500
Square Sheet Metal Junction Box,2019-10-28,15,15000
Sheet Metal Boxes,2019-11-07,92,9200
MS PLatform,2019-11-12,10,12500
Square Sheet Metal Junction Box,2019-11-15,15,15000
MS Brackets,2019-11-22,100,15000
Junction Box (S),2019-11-23,30,13500
Junction Box (S),2019-11-23,25,11250
Junction Box (S),2019-11-26,50,22500
MS PLatform,2019-12-08,20,25000
MS Brackets,2019-12-10,150,22500
Sheet Metal Boxes,2019-12-12,89,8900
Junction Box (S),2019-12-15,30,13500
Junction Box (S),2019-12-16,25,11250
Square Sheet Metal Junction Box,2019-12-28,15,15000
Junction Box (S),2019-12-31,25,11250
Square Sheet Metal Junction Box,2020-01-05,20,20000
Square Sheet Metal Junction Box,2020-01-06,10,10000
MS PLatform,2020-01-11,20,25000
Sheet Metal Boxes,2020-01-13,44,4400
MS Brackets,2020-01-20,100,15000
Junction Box (S),2020-01-24,30,13500
Square Sheet Metal Junction Box,2020-02-03,15,15000
MS PLatform,2020-02-06,20,25000
Junction Box (S),2020-02-07,25,11250
Sheet Metal Boxes,2020-02-13,34,3400
MS Brackets,2020-02-15,100,15000
Square Sheet Metal Junction Box,2020-02-25,20,20000
MS Brackets,2020-03-01,150,22500
Square Sheet Metal Junction Box,2020-03-16,10,10000
Sheet Metal Boxes,2020-03-19,100,10000
MS PLatform,2020-03-20,15,18750
Junction Box (S),2020-03-25,50,22500
Sheet Metal Boxes,2020-04-01,56,5600
MS PLatform,2020-04-05,10,12500
Square Sheet Metal Junction Box,2020-04-08,10,10000
Junction Box (S),2020-04-14,45,20250
Junction Box (S),2020-04-15,50,22500
MS Brackets,2020-04-17,100,15000
Square Sheet Metal Junction Box,2020-04-22,20,20000
Junction Box (S),2020-04-25,45,20250
Sheet Metal Boxes,2020-05-07,68,6800
Junction Box (S),2020-05-15,45,20250
Square Sheet Metal Junction Box,2020-05-19,20,20000
Junction Box (S),2020-05-28,50,22500
MS Brackets,2020-05-28,150,22500
Junction Box (S),2020-05-30,30,13500
MS PLatform,2020-05-31,20,25000
Square Sheet Metal Junction Box,2020-06-11,20,20000
MS PLatform,2020-06-19,25,31250
Junction Box (S),2020-06-20,50,22500
Square Sheet Metal Junction Box,2020-06-22,15,15000
MS Brackets,2020-06-22,100,15000
Square Sheet Metal Junction Box,2020-06-23,15,15000
Sheet Metal Boxes,2020-06-28,36,3600
MS PLatform,2020-07-08,15,18750
MS Brackets,2020-07-15,150,22500
Square Sheet Metal Junction Box,2020-07-24,20,20000
Junction Box (S),2020-07-26,45,20250
Sheet Metal Boxes,2020-07-30,34,3400
MS Brackets,2020-08-01,100,15000
Junction Box (S),2020-08-03,25,11250
Square Sheet Metal Junction Box,2020-08-07,20,20000
MS PLatform,2020-08-15,30,37500
Sheet Metal Boxes,2020-08-26,30,3000
Sheet Metal Boxes,2020-09-06,44,4400
Square Sheet Metal Junction Box,2020-09-15,10,10000
Square Sheet Metal Junction Box,2020-09-20,10,10000
MS Brackets,2020-09-20,100,15000
MS PLatform,2020-09-24,10,12500
Square Sheet Metal Junction Box,2020-09-28,15,15000
Junction Box (S),2020-09-30,30,13500
Square Sheet Metal Junction Box,2020-10-04,20,20000
Junction Box (S),2020-10-10,25,11250
MS PLatform,2020-10-13,10,12500
MS Brackets,2020-10-22,150,22500
Square Sheet Metal Junction Box,2020-10-27,20,20000
Junction Box (S),2020-10-29,30,13500
Sheet Metal Boxes,2020-10-31,76,7600
Square Sheet Metal Junction Box,2020-11-03,20,20000
Sheet Metal Boxes,2020-11-15,92,9200
MS PLatform,2020-11-18,10,12500
Junction Box (S),2020-11-20,45,20250
Square Sheet Metal Junction Box,2020-11-30,15,15000
MS Brackets,2020-11-30,200,30000
Junction Box (S),2020-12-01,50,22500
MS Brackets,2020-12-02,150,22500
MS PLatform,2020-12-06,20,25000
Sheet Metal Boxes,2020-12-08,83,8300
Junction Box (S),2020-12-24,30,13500
Square Sheet Metal Junction Box,2020-12-30,10,10000
Square Sheet Metal Junction Box,2021-01-02,20,20000
MS PLatform,2021-01-07,25,31250
Square Sheet Metal Junction Box,2021-01-14,15,15000
Square Sheet Metal Junction Box,2021-01-20,10,10000
Square Sheet Metal Junction Box,2021-01-21,20,20000
Sheet Metal Boxes,2021-01-24,43,4300
MS Brackets,2021-01-26,150,22500
Junction Box (S),2021-01-28,30,13500
Sheet Metal Boxes,2021-02-02,40,4000
Square Sheet Metal Junction Box,2021-02-10,20,20000
MS Brackets,2021-02-13,150,22500
MS PLatform,2021-02-17,25,31250
Junction Box (S),2021-02-21,45,20250
Square Sheet Metal Junction Box,2021-02-23,10,10000
Square Sheet Metal Junction Box,2021-02-26,20,20000
Square Sheet Metal Junction Box,2021-03-04,10,10000
MS Brackets,2021-03-06,100,15000
MS PLatform,2021-03-08,10,12500
Sheet Metal Boxes,2021-03-10,57,5700
Junction Box (S),2021-03-17,45,20250
MS Brackets,2021-04-06,100,15000
Junction Box (S),2021-04-13,30,13500
Sheet Metal Boxes,2021-04-17,71,7100
Square Sheet Metal Junction Box,2021-04-21,20,20000
Junction Box (S),2021-04-29,25,11250
MS PLatform,2021-04-30,15,18750
Junction Box (S),2021-05-04,25,11250
MS Brackets,2021-05-09,150,22500
MS PLatform,2021-05-13,20,25000
Sheet Metal Boxes,2021-05-13,89,8900
Junction Box (S),2021-05-16,25,11250
Square Sheet Metal Junction Box,2021-05-26,10,10000
Junction Box (S),2021-05-26,25,11250
MS PLatform,2021-06-07,30,37500
MS Brackets,2021-06-15,150,22500
Sheet Metal Boxes,2021-06-17,34,3400
Junction Box (S),2021-06-19,45,20250
Square Sheet Metal Junction Box,2021-06-28,10,10000
Square Sheet Metal Junction Box,2021-07-01,20,20000
Square Sheet Metal Junction Box,2021-07-05,10,10000
MS Brackets,2021-07-09,100,15000
MS PLatform,2021-07-11,10,12500
Square Sheet Metal Junction Box,2021-07-12,20,20000
Square Sheet Metal Junction Box,2021-07-14,20,20000
Junction Box (S),2021-07-14,45,20250
Sheet Metal Boxes,2021-07-18,37,3700
Sheet Metal Boxes,2021-08-09,48,4800
Square Sheet Metal Junction Box,2021-08-09,15,15000
Junction Box (S),2021-08-15,25,11250
MS Brackets,2021-08-16,150,22500
MS PLatform,2021-08-19,20,25000
Square Sheet Metal Junction Box,2021-08-21,15,15000
Square Sheet Metal Junction Box,2021-08-30,20,20000
Square Sheet Metal Junction Box,2021-09-03,15,15000
Sheet Metal Boxes,2021-09-06,31,3100
Junction Box (S),2021-09-09,25,11250
MS Brackets,2021-09-12,150,22500
Square Sheet Metal Junction Box,2021-09-13,10,10000
MS PLatform,2021-09-25,15,18750
Junction Box (S),2021-10-12,25,11250
Sheet Metal Boxes,2021-10-12,96,9600
Junction Box (S),2021-10-14,50,22500
Junction Box (S),2021-10-17,50,22500
MS Brackets,2021-10-23,150,22500
Square Sheet Metal Junction Box,2021-10-25,20,20000
MS PLatform,2021-10-25,10,12500
Junction Box (S),2021-11-03,25,11250
MS Brackets,2021-11-06,100,15000
Square Sheet Metal Junction Box,2021-11-08,10,10000
MS PLatform,2021-11-20,10,12500
Junction Box (S),2021-11-20,30,13500
Sheet Metal Boxes,2021-11-20,64,6400
Junction Box (S),2021-11-25,45,20250
